id,slug,name_en,name_local,type,subtype,country,region,currency,domain,logo_clearbit,logo_brandfetch,logo_svgl,brand_color,swift_bic,notes
27,CapitalOne,Capital One,Capital One,bank,commercial_bank,United States,North America,USD,capitalone.com,https://logo.clearbit.com/capitalone.com,https://cdn.brandfetch.io/capitalone.com/w/200/h/200,,#004977,HIBKUS44,
28,PNC,PNC Bank,PNC Bank,bank,commercial_bank,United States,North America,USD,pnc.com,https://logo.clearbit.com/pnc.com,https://cdn.brandfetch.io/pnc.com/w/200/h/200,,#F58025,PNCCUS33,
29,Truist,Truist Bank,Truist,bank,commercial_bank,United States,North America,USD,truist.com,https://logo.clearbit.com/truist.com,https://cdn.brandfetch.io/truist.com/w/200/h/200,,#5429B5,BRBTUS33,Merger of BB&T and SunTrust
30,USBank,U.S. Bank,U.S. Bancorp,bank,commercial_bank,United States,North America,USD,usbank.com,https://logo.clearbit.com/usbank.com,https://cdn.brandfetch.io/usbank.com/w/200/h/200,,#0063A5,USBKUS44,
31,TDBank,TD Bank,TD Bank,bank,commercial_bank,United States,North America,USD,tdbank.com,https://logo.clearbit.com/tdbank.com,https://cdn.brandfetch.io/tdbank.com/w/200/h/200,,#2B8739,TDOMCATTTOR,Canada-owned US subsidiary
32,CharlesSchwab,Charles Schwab Bank,Charles Schwab,bank,commercial_bank,United States,North America,USD,schwab.com,https://logo.clearbit.com/schwab.com,https://cdn.brandfetch.io/schwab.com/w/200/h/200,,#00A0DF,SCHBUS6S,
33,AllyBank,Ally Bank,Ally Financial,bank,neobank,United States,North America,USD,ally.com,https://logo.clearbit.com/ally.com,https://cdn.brandfetch.io/ally.com/w/200/h/200,,#FF007F,ALLBUS33,Online-only bank
34,Discover,Discover Bank,Discover Financial,bank,commercial_bank,United States,North America,USD,discover.com,https://logo.clearbit.com/discover.com,https://cdn.brandfetch.io/discover.com/w/200/h/200,,#F76300,DSCVUS33,
35,AmericanExpress,American Express,AmEx,bank,commercial_bank,United States,North America,USD,americanexpress.com,https://logo.clearbit.com/americanexpress.com,https://cdn.brandfetch.io/americanexpress.com/w/200/h/200,,#016FD0,AEIBUS33,
36,RegionsBank,Regions Bank,Regions Financial,bank,commercial_bank,United States,North America,USD,regions.com,https://logo.clearbit.com/regions.com,https://cdn.brandfetch.io/regions.com/w/200/h/200,,#00875A,UPNBUS44,
37,KeyBank,KeyBank,KeyCorp,bank,commercial_bank,United States,North America,USD,key.com,https://logo.clearbit.com/key.com,https://cdn.brandfetch.io/key.com/w/200/h/200,,#CC0000,KEYBUS44,
38,CitizensBank,Citizens Bank,Citizens Financial,bank,commercial_bank,United States,North America,USD,citizensbank.com,https://logo.clearbit.com/citizensbank.com,https://cdn.brandfetch.io/citizensbank.com/w/200/h/200,,#00A32E,CTZNUS33,
39,Huntington,Huntington Bank,Huntington Bancshares,bank,commercial_bank,United States,North America,USD,huntington.com,https://logo.clearbit.com/huntington.com,https://cdn.brandfetch.io/huntington.com/w/200/h/200,,#09A950,HUNTUS33,
40,FifthThird,Fifth Third Bank,Fifth Third Bancorp,bank,commercial_bank,United States,North America,USD,53.com,https://logo.clearbit.com/53.com,https://cdn.brandfetch.io/53.com/w/200/h/200,,#00A160,FTBCUS3C,
41,Chime,Chime,Chime Financial,bank,neobank,United States,North America,USD,chime.com,https://logo.clearbit.com/chime.com,https://cdn.brandfetch.io/chime.com/w/200/h/200,,#1EC677,,Neobank; FDIC via Bancorp Bank
42,SoFi,SoFi Bank,SoFi Technologies,bank,neobank,United States,North America,USD,sofi.com,https://logo.clearbit.com/sofi.com,https://cdn.brandfetch.io/sofi.com/w/200/h/200,,#7B2D8B,,Neobank
43,Synchrony,Synchrony Bank,Synchrony Financial,bank,commercial_bank,United States,North America,USD,synchronybank.com,https://logo.clearbit.com/synchronybank.com,https://cdn.brandfetch.io/synchronybank.com/w/200/h/200,,#004785,,
44,TIAA,TIAA Bank,TIAA,bank,commercial_bank,United States,North America,USD,tiaa.org,https://logo.clearbit.com/tiaa.org,https://cdn.brandfetch.io/tiaa.org/w/200/h/200,,#003865,,
45,SVB,Silicon Valley Bank,First Citizens (SVB),bank,commercial_bank,United States,North America,USD,svb.com,https://logo.clearbit.com/svb.com,https://cdn.brandfetch.io/svb.com/w/200/h/200,,#CC0000,SVBKUS6S,Acquired by First Citizens 2023
46,HSBC,HSBC,HSBC Holdings,bank,commercial_bank,United Kingdom,Western Europe,GBP,hsbc.com,https://logo.clearbit.com/hsbc.com,https://cdn.brandfetch.io/hsbc.com/w/200/h/200,,#DB0011,MIDLGB22,Global HQ in London
47,Barclays,Barclays,Barclays plc,bank,commercial_bank,United Kingdom,Western Europe,GBP,barclays.com,https://logo.clearbit.com/barclays.com,https://cdn.brandfetch.io/barclays.com/w/200/h/200,,#00AEEF,BARCGB22,
48,Lloyds,Lloyds Bank,Lloyds Banking Group,bank,commercial_bank,United Kingdom,Western Europe,GBP,lloydsbank.com,https://logo.clearbit.com/lloydsbank.com,https://cdn.brandfetch.io/lloydsbank.com/w/200/h/200,,#006A4E,LOYDGB2L,
49,NatWest,NatWest,NatWest Group,bank,commercial_bank,United Kingdom,Western Europe,GBP,natwest.com,https://logo.clearbit.com/natwest.com,https://cdn.brandfetch.io/natwest.com/w/200/h/200,,#42145F,NWBKGB2L,
50,StanChart,Standard Chartered,Standard Chartered plc,bank,commercial_bank,United Kingdom,Western Europe,GBP,sc.com,https://logo.clearbit.com/sc.com,https://cdn.brandfetch.io/sc.com/w/200/h/200,,#0072AA,SCBLGB2L,HQ London; major in Asia
51,SantanderUK,Santander UK,Santander UK plc,bank,commercial_bank,United Kingdom,Western Europe,GBP,santander.co.uk,https://logo.clearbit.com/santander.co.uk,https://cdn.brandfetch.io/santander.co.uk/w/200/h/200,,#EC0000,ABBYGB2L,
52,Halifax,Halifax,Lloyds Banking Group,bank,commercial_bank,United Kingdom,Western Europe,GBP,halifax.co.uk,https://logo.clearbit.com/halifax.co.uk,https://cdn.brandfetch.io/halifax.co.uk/w/200/h/200,,#005BAC,HLFXGB21,
53,Monzo,Monzo,Monzo Bank,bank,neobank,United Kingdom,Western Europe,GBP,monzo.com,https://logo.clearbit.com/monzo.com,https://cdn.brandfetch.io/monzo.com/w/200/h/200,,#FF3464,MONZGB2L,UK neobank unicorn
54,Starling,Starling Bank,Starling Bank,bank,neobank,United Kingdom,Western Europe,GBP,starlingbank.com,https://logo.clearbit.com/starlingbank.com,https://cdn.brandfetch.io/starlingbank.com/w/200/h/200,,#6935D3,,UK neobank
55,MetroBank,Metro Bank,Metro Bank,bank,commercial_bank,United Kingdom,Western Europe,GBP,metrobankonline.co.uk,https://logo.clearbit.com/metrobankonline.co.uk,https://cdn.brandfetch.io/metrobankonline.co.uk/w/200/h/200,,#CC0000,MYMBGB2L,
56,DeutscheBank,Deutsche Bank,Deutsche Bank AG,bank,commercial_bank,Germany,Western Europe,EUR,db.com,https://logo.clearbit.com/db.com,https://cdn.brandfetch.io/db.com/w/200/h/200,,#0018A8,DEUTDEDB,
57,Commerzbank,Commerzbank,Commerzbank AG,bank,commercial_bank,Germany,Western Europe,EUR,commerzbank.com,https://logo.clearbit.com/commerzbank.com,https://cdn.brandfetch.io/commerzbank.com/w/200/h/200,,#FFCC00,COBADEFF,
58,HVB,HypoVereinsbank,UniCredit Bank AG,bank,commercial_bank,Germany,Western Europe,EUR,hvb.de,https://logo.clearbit.com/hvb.de,https://cdn.brandfetch.io/hvb.de/w/200/h/200,,#E30613,HYVEDEMM,Owned by UniCredit
59,N26,N26,N26 GmbH,bank,neobank,Germany,Western Europe,EUR,n26.com,https://logo.clearbit.com/n26.com,https://cdn.brandfetch.io/n26.com/w/200/h/200,,#1A1A2E,NTSBDEB1,Pan-European neobank
60,DKB,DKB,Deutsche Kreditbank,bank,commercial_bank,Germany,Western Europe,EUR,dkb.de,https://logo.clearbit.com/dkb.de,https://cdn.brandfetch.io/dkb.de/w/200/h/200,,#005BAC,SSKMDEMMXXX,
61,Sparkasse,Sparkasse,Savings Banks Finance Group,bank,savings_bank,Germany,Western Europe,EUR,sparkasse.de,https://logo.clearbit.com/sparkasse.de,https://cdn.brandfetch.io/sparkasse.de/w/200/h/200,,#FF0000,,Germany's largest savings bank network
62,BNPParibas,BNP Paribas,BNP Paribas SA,bank,commercial_bank,France,Western Europe,EUR,bnpparibas.com,https://logo.clearbit.com/bnpparibas.com,https://cdn.brandfetch.io/bnpparibas.com/w/200/h/200,,#009440,BNPAFRPP,Largest French bank
63,CreditAgricole,Credit Agricole,Crédit Agricole,bank,cooperative_bank,France,Western Europe,EUR,credit-agricole.com,https://logo.clearbit.com/credit-agricole.com,https://cdn.brandfetch.io/credit-agricole.com/w/200/h/200,,#00855A,AGRIFRPP,
64,SocieteGenerale,Societe Generale,Société Générale,bank,commercial_bank,France,Western Europe,EUR,societegenerale.com,https://logo.clearbit.com/societegenerale.com,https://cdn.brandfetch.io/societegenerale.com/w/200/h/200,,#E60028,SOGEFRPP,
65,BPCE,Banque Populaire,BPCE,bank,cooperative_bank,France,Western Europe,EUR,bpce.fr,https://logo.clearbit.com/bpce.fr,https://cdn.brandfetch.io/bpce.fr/w/200/h/200,,#004D98,BPCEFRPP,
66,LaBanquePostale,La Banque Postale,La Banque Postale,bank,commercial_bank,France,Western Europe,EUR,labanquepostale.fr,https://logo.clearbit.com/labanquepostale.fr,https://cdn.brandfetch.io/labanquepostale.fr/w/200/h/200,,#FFCC00,PSSTFRPP,
67,UBS,UBS,UBS Group AG,bank,investment_bank,Switzerland,Western Europe,CHF,ubs.com,https://logo.clearbit.com/ubs.com,https://cdn.brandfetch.io/ubs.com/w/200/h/200,,#E30613,UBSWCHZH,Absorbed Credit Suisse 2023
68,JuliusBaer,Julius Baer,Julius Bär Group,bank,private_bank,Switzerland,Western Europe,CHF,juliusbaer.com,https://logo.clearbit.com/juliusbaer.com,https://cdn.brandfetch.io/juliusbaer.com/w/200/h/200,,#003865,BAERJHBH,
69,PostFinance,PostFinance,PostFinance AG,bank,commercial_bank,Switzerland,Western Europe,CHF,postfinance.ch,https://logo.clearbit.com/postfinance.ch,https://cdn.brandfetch.io/postfinance.ch/w/200/h/200,,#FFCC00,PFSWCH21,
70,ING,ING,ING Group,bank,commercial_bank,Netherlands,Western Europe,EUR,ing.com,https://logo.clearbit.com/ing.com,https://cdn.brandfetch.io/ing.com/w/200/h/200,,#FF6200,INGBNL2A,
71,ABNAMRO,ABN AMRO,ABN AMRO Bank,bank,commercial_bank,Netherlands,Western Europe,EUR,abnamro.com,https://logo.clearbit.com/abnamro.com,https://cdn.brandfetch.io/abnamro.com/w/200/h/200,,#009286,ABNANL2A,
72,Rabobank,Rabobank,Coöperatieve Rabobank,bank,cooperative_bank,Netherlands,Western Europe,EUR,rabobank.com,https://logo.clearbit.com/rabobank.com,https://cdn.brandfetch.io/rabobank.com/w/200/h/200,,#FF6200,RABONL2U,
73,Santander,Santander,Banco Santander SA,bank,commercial_bank,Spain,Western Europe,EUR,santander.com,https://logo.clearbit.com/santander.com,https://cdn.brandfetch.io/santander.com/w/200/h/200,,#EC0000,BSCHESMM,Largest Spanish bank
74,BBVA,BBVA,Banco Bilbao Vizcaya Argentaria,bank,commercial_bank,Spain,Western Europe,EUR,bbva.com,https://logo.clearbit.com/bbva.com,https://cdn.brandfetch.io/bbva.com/w/200/h/200,,#004B87,BBVAESMM,
75,CaixaBank,CaixaBank,CaixaBank SA,bank,commercial_bank,Spain,Western Europe,EUR,caixabank.com,https://logo.clearbit.com/caixabank.com,https://cdn.brandfetch.io/caixabank.com/w/200/h/200,,#007BC4,CAIXESBB,
76,UniCredit,UniCredit,UniCredit SpA,bank,commercial_bank,Italy,Western Europe,EUR,unicredit.eu,https://logo.clearbit.com/unicredit.eu,https://cdn.brandfetch.io/unicredit.eu/w/200/h/200,,#DD1D21,UNCRITMM,
77,IntesaSanpaolo,Intesa Sanpaolo,Intesa Sanpaolo SpA,bank,commercial_bank,Italy,Western Europe,EUR,intesasanpaolo.com,https://logo.clearbit.com/intesasanpaolo.com,https://cdn.brandfetch.io/intesasanpaolo.com/w/200/h/200,,#003F8A,BCITITIM,
78,Mediobanca,Mediobanca,Mediobanca SpA,bank,investment_bank,Italy,Western Europe,EUR,mediobanca.com,https://logo.clearbit.com/mediobanca.com,https://cdn.brandfetch.io/mediobanca.com/w/200/h/200,,#003087,MDIBITM1,
79,Nordea,Nordea,Nordea Bank Abp,bank,commercial_bank,Sweden,Western Europe,SEK,nordea.com,https://logo.clearbit.com/nordea.com,https://cdn.brandfetch.io/nordea.com/w/200/h/200,,#00005E,NDEAFIHHXXX,Nordic region's largest bank
80,SEB,SEB,Skandinaviska Enskilda Banken,bank,commercial_bank,Sweden,Western Europe,SEK,sebgroup.com,https://logo.clearbit.com/sebgroup.com,https://cdn.brandfetch.io/sebgroup.com/w/200/h/200,,#007AC2,ESSESESS,
81,Handelsbanken,Handelsbanken,Svenska Handelsbanken,bank,commercial_bank,Sweden,Western Europe,SEK,handelsbanken.com,https://logo.clearbit.com/handelsbanken.com,https://cdn.brandfetch.io/handelsbanken.com/w/200/h/200,,#1B3C6B,HANDSESS,
82,DNB,DNB,DNB ASA,bank,commercial_bank,Norway,Western Europe,NOK,dnb.no,https://logo.clearbit.com/dnb.no,https://cdn.brandfetch.io/dnb.no/w/200/h/200,,#007272,DNBANOKKXXX,Largest Norwegian bank
83,DanskeBank,Danske Bank,Danske Bank A/S,bank,commercial_bank,Denmark,Western Europe,DKK,danskebank.com,https://logo.clearbit.com/danskebank.com,https://cdn.brandfetch.io/danskebank.com/w/200/h/200,,#003755,DABADKKK,
84,RBC,Royal Bank of Canada,RBC,bank,commercial_bank,Canada,North America,CAD,rbc.com,https://logo.clearbit.com/rbc.com,https://cdn.brandfetch.io/rbc.com/w/200/h/200,,#003DA5,ROYCCAT2,
85,TD,TD Bank,Toronto-Dominion Bank,bank,commercial_bank,Canada,North America,CAD,td.com,https://logo.clearbit.com/td.com,https://cdn.brandfetch.io/td.com/w/200/h/200,,#34B233,TDOMCATTTOR,
86,Scotiabank,Scotiabank,Bank of Nova Scotia,bank,commercial_bank,Canada,North America,CAD,scotiabank.com,https://logo.clearbit.com/scotiabank.com,https://cdn.brandfetch.io/scotiabank.com/w/200/h/200,,#EC111A,NOSCCAT2,
87,BMO,BMO,Bank of Montreal,bank,commercial_bank,Canada,North America,CAD,bmo.com,https://logo.clearbit.com/bmo.com,https://cdn.brandfetch.io/bmo.com/w/200/h/200,,#0073CF,BOFMCAM2,
88,CIBC,CIBC,Canadian Imperial Bank of Commerce,bank,commercial_bank,Canada,North America,CAD,cibc.com,https://logo.clearbit.com/cibc.com,https://cdn.brandfetch.io/cibc.com/w/200/h/200,,#C41F3A,CIBCCATT,
89,CommBank,Commonwealth Bank,Commonwealth Bank of Australia,bank,commercial_bank,Australia,Oceania,AUD,commbank.com.au,https://logo.clearbit.com/commbank.com.au,https://cdn.brandfetch.io/commbank.com.au/w/200/h/200,,#FFD100,CTBAAU2S,
90,Westpac,Westpac,Westpac Banking Corp,bank,commercial_bank,Australia,Oceania,AUD,westpac.com.au,https://logo.clearbit.com/westpac.com.au,https://cdn.brandfetch.io/westpac.com.au/w/200/h/200,,#D5002B,WPACAU2S,
91,ANZ,ANZ,Australia and New Zealand Banking Group,bank,commercial_bank,Australia,Oceania,AUD,anz.com,https://logo.clearbit.com/anz.com,https://cdn.brandfetch.io/anz.com/w/200/h/200,,#007DBA,ANZBAU3M,
92,NAB,NAB,National Australia Bank,bank,commercial_bank,Australia,Oceania,AUD,nab.com.au,https://logo.clearbit.com/nab.com.au,https://cdn.brandfetch.io/nab.com.au/w/200/h/200,,#E21328,NATAAU3303M,
93,Macquarie,Macquarie Bank,Macquarie Group,bank,investment_bank,Australia,Oceania,AUD,macquarie.com,https://logo.clearbit.com/macquarie.com,https://cdn.brandfetch.io/macquarie.com/w/200/h/200,,#C9002B,MACQAU2S,
94,MUFG,MUFG Bank,Mitsubishi UFJ Financial Group,bank,commercial_bank,Japan,East Asia,JPY,mufg.jp,https://logo.clearbit.com/mufg.jp,https://cdn.brandfetch.io/mufg.jp/w/200/h/200,,#820000,BOTKJPJT,Largest Japanese bank
95,SMBC,SMBC,Sumitomo Mitsui Banking Corp,bank,commercial_bank,Japan,East Asia,JPY,smbc.co.jp,https://logo.clearbit.com/smbc.co.jp,https://cdn.brandfetch.io/smbc.co.jp/w/200/h/200,,#005BAC,SMBCJPJT,
96,Mizuho,Mizuho Bank,Mizuho Financial Group,bank,commercial_bank,Japan,East Asia,JPY,mizuho-fg.co.jp,https://logo.clearbit.com/mizuho-fg.co.jp,https://cdn.brandfetch.io/mizuho-fg.co.jp/w/200/h/200,,#003087,MHCBJPJT,
97,JapanPostBank,Japan Post Bank,ゆうちょ銀行,bank,savings_bank,Japan,East Asia,JPY,jp-bank.japanpost.jp,https://logo.clearbit.com/jp-bank.japanpost.jp,https://cdn.brandfetch.io/jp-bank.japanpost.jp/w/200/h/200,,#C00000,JPPYJPJT,Largest deposits in Japan
98,Resona,Resona Bank,りそな銀行,bank,commercial_bank,Japan,East Asia,JPY,resona-hd.co.jp,https://logo.clearbit.com/resona-hd.co.jp,https://cdn.brandfetch.io/resona-hd.co.jp/w/200/h/200,,#D5001B,DIWAJPJT,
99,RakutenBank,Rakuten Bank,楽天銀行,bank,neobank,Japan,East Asia,JPY,rakuten-bank.co.jp,https://logo.clearbit.com/rakuten-bank.co.jp,https://cdn.brandfetch.io/rakuten-bank.co.jp/w/200/h/200,,#BF0000,RAKTJPJT,Online bank
100,SBISumishin,SBI Sumishin Net Bank,SBI住信ネット銀行,bank,neobank,Japan,East Asia,JPY,netbk.co.jp,https://logo.clearbit.com/netbk.co.jp,https://cdn.brandfetch.io/netbk.co.jp/w/200/h/200,,#003DA5,,Online bank
101,SonyBank,Sony Bank,ソニー銀行,bank,neobank,Japan,East Asia,JPY,sonybank.net,https://logo.clearbit.com/sonybank.net,https://cdn.brandfetch.io/sonybank.net/w/200/h/200,,#000000,SONYJ,Online bank
102,AeonBank,AEON Bank,イオン銀行,bank,commercial_bank,Japan,East Asia,JPY,aeonbank.co.jp,https://logo.clearbit.com/aeonbank.co.jp,https://cdn.brandfetch.io/aeonbank.co.jp/w/200/h/200,,#E4002B,,Retail-linked bank
103,ShinseiBank,Shinsei Bank,新生銀行,bank,commercial_bank,Japan,East Asia,JPY,shinseibank.com,https://logo.clearbit.com/shinseibank.com,https://cdn.brandfetch.io/shinseibank.com/w/200/h/200,,#00A0AF,LITEDJPJ,
104,KBKookmin,KB Kookmin Bank,KB국민은행,bank,commercial_bank,South Korea,East Asia,KRW,kbfg.com,https://logo.clearbit.com/kbfg.com,https://cdn.brandfetch.io/kbfg.com/w/200/h/200,,#FFB500,CZNBKRSE,
105,ShinhanBank,Shinhan Bank,신한은행,bank,commercial_bank,South Korea,East Asia,KRW,shinhan.com,https://logo.clearbit.com/shinhan.com,https://cdn.brandfetch.io/shinhan.com/w/200/h/200,,#0046FF,SHBKKRSE,
106,HanaBank,Hana Bank,하나은행,bank,commercial_bank,South Korea,East Asia,KRW,hanabank.com,https://logo.clearbit.com/hanabank.com,https://cdn.brandfetch.io/hanabank.com/w/200/h/200,,#009900,KOEXKRSE,
107,WooriBank,Woori Bank,우리은행,bank,commercial_bank,South Korea,East Asia,KRW,wooribank.com,https://logo.clearbit.com/wooribank.com,https://cdn.brandfetch.io/wooribank.com/w/200/h/200,,#005BAC,HVBKKRSE,
108,NHBank,NH Nonghyup Bank,농협은행,bank,cooperative_bank,South Korea,East Asia,KRW,nonghyup.com,https://logo.clearbit.com/nonghyup.com,https://cdn.brandfetch.io/nonghyup.com/w/200/h/200,,#00843D,NACFKRSE,
109,IBK,IBK,기업은행,bank,commercial_bank,South Korea,East Asia,KRW,ibk.co.kr,https://logo.clearbit.com/ibk.co.kr,https://cdn.brandfetch.io/ibk.co.kr/w/200/h/200,,#003087,IBKOKRSE,
110,KakaoBank,KakaoBank,카카오뱅크,bank,neobank,South Korea,East Asia,KRW,kakaobank.com,https://logo.clearbit.com/kakaobank.com,https://cdn.brandfetch.io/kakaobank.com/w/200/h/200,,#FAE100,,Mobile-first neobank
111,KBank,K Bank,케이뱅크,bank,neobank,South Korea,East Asia,KRW,kbanknow.com,https://logo.clearbit.com/kbanknow.com,https://cdn.brandfetch.io/kbanknow.com/w/200/h/200,,#6C37E0,,Korea's first internet bank
112,SBI,State Bank of India,भारतीय स्टेट बैंक,bank,commercial_bank,India,South Asia,INR,sbi.co.in,https://logo.clearbit.com/sbi.co.in,https://cdn.brandfetch.io/sbi.co.in/w/200/h/200,,#2D5FA6,SBININBB,India's largest bank
113,HDFCBank,HDFC Bank,HDFC Bank,bank,commercial_bank,India,South Asia,INR,hdfcbank.com,https://logo.clearbit.com/hdfcbank.com,https://cdn.brandfetch.io/hdfcbank.com/w/200/h/200,,#004C8F,HDFCINBB,
114,ICICIBank,ICICI Bank,ICICI Bank,bank,commercial_bank,India,South Asia,INR,icicibank.com,https://logo.clearbit.com/icicibank.com,https://cdn.brandfetch.io/icicibank.com/w/200/h/200,,#F58220,ICICIN BB,
